InvoiceNo,TotalSale
537691,310.57
538517,278.97999999999996
540540,169.35000000000002
540976,919.98
538184,458.91999999999996
538879,338.97999999999996
540499,348.2
C540850,-1.25
541783,728.16
541518,2919.51
542375,178.10000000000002
544303,161.95
C542604,-159.30999999999997
543641,186.34
547122,298.11
550469,178.40999999999997
552191,58.9
552172,640.0
550617,376.0
548542,198.20000000000002
553708,112.19999999999999
556732,474.87
552277,312.28000000000003
552852,414.49999999999994
553390,466.2799999999999
557271,621.27
553470,5410.0599999999995
554072,613.9300000000001
556462,213.8
553738,305.36
553658,554.42
556441,360.07000000000005
554792,48.4
557757,100.67
559174,503.8
562890,355.45
558700,295.38
561519,83.99
560145,709.74
562204,249.27000000000004
559295,303.76000000000005
561352,416.9000000000001
C562959,-15.0
559062,553.92
560536,123.15
558100,385.83000000000004
566248,140.96
567879,534.2800000000001
563020,605.14
565747,315.65000000000003
567163,305.07
566431,303.36
569823,202.26999999999998
570234,327.28000000000003
572049,414.21
572458,498.74
569020,1238.5400000000002
568222,185.85000000000002
573020,923.17
576059,357.66999999999996
575091,516.85
575671,665.46
574844,222.26000000000002
576112,332.65999999999997
575948,107.95
575961,125.47999999999999
577022,331.55
580490,635.6800000000001
577511,165.12
578057,162.78000000000003
580906,339.48
578459,286.40000000000003
554630,296.32
578292,708.76
577541,381.7
578941,251.03
539064,58.7
539570,327.59999999999997
536597,102.78999999999999
540184,119.29999999999998
542006,581.66
543484,455.02
546317,314.96
545577,161.49999999999997
552193,243.52
546686,300.19
549130,273.85
551351,4390.5599999999995
547938,433.90000000000003
549907,313.8
548707,127.84
546908,299.0
549718,252.53000000000003
555829,392.40000000000003
557019,254.52
554126,472.09
554163,183.26
555813,87.89999999999999
557283,142.06
552723,358.2
554151,1989.73
554671,314.70000000000005
557040,263.09
555538,148.95999999999998
557760,542.7
554067,227.57999999999998
C557654,-16.14
554579,469.0
558731,796.83
561073,1104.31
562427,310.59999999999997
558271,382.46000000000004
561203,311.76000000000005
562840,150.74
561893,279.08
558879,369.56
561070,136.64999999999998
558638,462.58000000000004
558870,1128.6
558104,184.82000000000002
561474,2688.2700000000004
559700,1752.0600000000002
563350,360.09
564020,373.66
566240,137.56
566202,337.73999999999995
564551,314.70000000000005
567794,820.78
568919,398.2099999999999
570220,69.65
568146,587.4599999999999
572655,656.63
572910,390.74
575932,449.87
574960,684.9599999999999
575707,363.95000000000005
576093,303.06000000000006
579792,1319.1599999999999
577613,805.2
C576850,-34.55
578353,184.2
579493,344.61999999999995
577905,291.6
577851,348.38
547107,174.16
557066,301.88
554997,321.96
557325,325.26
560996,685.1
568674,367.37
578791,123.29000000000002
539075,226.57000000000002
540003,368.79999999999995
537871,167.09
539298,136.25
538558,309.71999999999997
537634,231.9
537256,2263.8
538365,326.7
546426,285.33000000000004
544098,1129.3500000000001
545515,534.76
541569,685.1200000000001
542896,270.0
546239,185.15
541813,424.32
545590,316.10999999999996
546687,422.42999999999995
549789,611.9100000000001
546790,136.57
548792,208.57000000000002
548545,423.55
549932,124.8
549614,293.24
551548,446.61999999999995
547066,562.63
548734,183.39999999999998
546677,363.40000000000003
556580,311.4
553660,177.43
553859,595.6999999999999
552624,647.76
553655,114.7
554545,219.78000000000003
554979,161.57999999999998
553471,2462.26
554650,568.7399999999999
555075,382.5
555523,508.95
557279,226.39
554487,146.5
561204,451.13000000000005
562789,12341.210000000001
561857,308.44
560895,1021.9200000000001
561534,612.9100000000001
560861,178.75
562575,225.81000000000003
559865,1086.8300000000002
560863,104.28
561637,428.4
562615,254.8
560790,902.4
558339,174.05
562718,169.40000000000003
566561,1079.47
562965,666.8000000000001
563518,231.76000000000002
567975,584.32
563228,53.05
564216,366.45000000000005
563857,135.95
571715,317.0
568158,1146.8
569844,1377.5500000000002
571438,893.5900000000001
571425,690.34
568343,418.81999999999994
572918,237.12
572925,228.22
573895,43.5
576069,164.34
574100,147.35000000000002
573019,312.34
574056,3949.6599999999994
575611,113.5
575969,228.96999999999997
573003,4992.0
574891,106.44
575301,48.79
C575064,-42.01
579531,588.4200000000001
579558,737.8000000000001
579510,727.05
580402,655.75
576845,200.2
577067,164.72
580295,113.78999999999999
581578,848.5500000000001
C581117,-27.15
569364,242.12
573269,248.53000000000003
573324,192.02
578319,107.76
537111,177.89000000000001
537469,102.0
537350,419.06
539752,383.70000000000005
544568,773.66
546013,238.01000000000002
543342,424.41
545081,683.98
545534,222.30000000000004
C543830,-32.75
542667,453.70000000000005
548198,351.00999999999993
547243,245.61999999999998
550479,695.3299999999999
548687,828.3999999999999
547573,157.16
547516,385.79999999999995
550057,129.09000000000003
552283,109.80000000000001
556958,305.2
553423,186.17
553174,127.45
554938,726.4300000000001
553843,352.85
557307,139.77
553997,1118.3999999999999
558067,930.71
558105,380.34999999999997
C562559,-46.25
C562811,-396.96000000000004
559360,114.53999999999999
564634,306.19
C565085,-17.9
C565962,-51.0
571244,231.17000000000002
572447,402.75
571409,964.2200000000001
570429,801.0799999999999
568171,130.05
572860,308.6
573357,178.44
573100,389.96000000000004
574695,114.14000000000001
574917,386.74
575368,225.18
576768,1145.3200000000002
573141,183.70000000000002
C576974,-11.05
579446,528.48
579530,288.35999999999996
579901,208.19
576911,327.56000000000006
577429,255.39999999999998
580893,164.17999999999998
580688,142.35
580049,204.22
581166,265.68
559004,632.44
566987,533.5999999999999
538851,310.85
539098,395.15999999999997
C537805,-26.380000000000003
540906,366.12
540371,309.55
C539710,-10.15
541357,146.85
543027,153.76
546760,516.1500000000001
550054,171.10000000000002
553035,499.23
556517,1001.21
556680,306.46
557896,114.88000000000001
553552,439.8
558750,450.81
558623,163.9
560235,189.57999999999998
567817,165.14000000000001
564203,241.44000000000003
565727,332.89000000000004
563062,120.41999999999999
567475,242.16000000000003
563812,88.5
565410,835.0799999999999
565990,371.70000000000005
C566940,-5.9
563567,328.06999999999994
565513,313.08000000000004
567425,1004.4000000000001
570428,428.93000000000006
569246,2900.99
568667,109.96000000000001
570416,660.64
570442,315.84
C572117,-3.75
569232,366.78000000000003
568471,512.3100000000001
575075,272.49999999999994
572563,334.0
573656,462.85
573745,318.40999999999997
573511,1294.32
574024,109.68
574705,194.4
573385,1008.6700000000001
578819,790.06
577812,308.74
577778,139.97
577469,318.67999999999995
578698,400.0899999999999
581404,635.08
537141,517.65
537614,322.79999999999995
540471,688.4499999999999
536943,187.51000000000002
540121,366.06
540458,2169.39
540975,289.7
537051,317.28999999999996
545701,1695.21
C543175,-71.9
543973,282.70000000000005
544295,1097.5800000000002
545797,326.91
541846,323.09000000000003
544668,292.63
544111,891.3499999999999
545907,300.36
541530,523.98
547715,246.53999999999996
549728,111.75999999999999
547962,330.51
C550809,-3.75
547822,1444.8
550437,192.32999999999998
550635,423.36
552038,3869.1800000000007
550311,102.44000000000001
553703,464.31999999999994
554121,142.65
543007,160.85000000000002
555701,147.02
555852,189.28
555556,568.47
555522,273.13
555099,844.0
556942,683.17
555645,164.01
556290,383.28000000000003
561125,531.96
560445,11134.34
559168,145.96
562256,399.59999999999997
560698,664.83
560714,26.25
567821,426.42999999999995
C564279,-310.33000000000004
566230,418.84
565415,224.66999999999996
571892,431.20000000000005
568423,573.4
571323,383.54999999999995
571030,1491.5900000000001
571266,437.85999999999996
571203,1157.08
569768,659.08
572352,130.65
574880,370.25
576019,586.85
574863,613.94
575939,316.54
575958,32.17
575847,139.10000000000002
575914,432.1600000000001
575392,209.48000000000002
577950,245.05
578786,196.84999999999997
579262,93.84000000000002
