InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSale,PreviousTotalSale,PercentageChange
540562,10125,MINI FUNKY DESIGN TAPES,20,1/10/2011 10:35,0.42,12524,Germany,8.4,,
540595,10125,MINI FUNKY DESIGN TAPES,20,1/10/2011 11:35,0.42,14321,United Kingdom,8.4,8.4,0.0
540692,10125,MINI FUNKY DESIGN TAPES,20,1/11/2011 9:12,0.42,14320,United Kingdom,8.4,8.4,0.0
541566,10125,MINI FUNKY DESIGN TAPES,20,1/19/2011 11:50,0.42,17722,United Kingdom,8.4,8.4,0.0
540263,10125,MINI FUNKY DESIGN TAPES,40,1/6/2011 10:03,0.42,18062,United Kingdom,16.8,8.4,100.0
540351,10125,MINI FUNKY DESIGN TAPES,20,1/6/2011 14:26,0.42,12735,France,8.4,16.8,-50.0
540458,10125,MINI FUNKY DESIGN TAPES,20,1/7/2011 12:28,0.42,12501,Germany,8.4,8.4,0.0
571328,10125,MINI FUNKY DESIGN TAPES,20,10/17/2011 11:27,0.85,12473,Germany,17.0,8.4,102.38095238095238
569223,10125,MINI FUNKY DESIGN TAPES,7,10/2/2011 13:49,0.85,16283,United Kingdom,5.95,17.0,-65.0
572558,10125,MINI FUNKY DESIGN TAPES,20,10/25/2011 8:26,0.85,14286,United Kingdom,17.0,5.95,185.71428571428572
569897,10125,MINI FUNKY DESIGN TAPES,3,10/6/2011 16:01,0.85,17813,United Kingdom,2.55,17.0,-85.0
576672,10125,MINI FUNKY DESIGN TAPES,60,11/16/2011 11:59,0.85,12731,France,51.0,2.55,1900.0000000000005
574530,10125,MINI FUNKY DESIGN TAPES,2,11/4/2011 14:07,0.85,16887,United Kingdom,1.7,51.0,-96.66666666666666
536464,10125,MINI FUNKY DESIGN TAPES,2,12/1/2010 12:23,0.85,17968,United Kingdom,1.7,1.7,0.0
538558,10125,MINI FUNKY DESIGN TAPES,20,12/13/2010 10:58,0.42,13069,United Kingdom,8.4,1.7,394.11764705882354
538991,10125,MINI FUNKY DESIGN TAPES,60,12/15/2010 11:53,0.42,17511,United Kingdom,25.2,8.4,199.99999999999994
538896,10125,MINI FUNKY DESIGN TAPES,20,12/15/2010 9:09,0.42,16145,United Kingdom,8.4,25.2,-66.66666666666666
580419,10125,MINI FUNKY DESIGN TAPES,6,12/4/2011 12:08,0.85,16283,United Kingdom,5.1,8.4,-39.28571428571429
537351,10125,MINI FUNKY DESIGN TAPES,1,12/6/2010 12:23,0.85,16898,United Kingdom,0.85,5.1,-83.33333333333334
537689,10125,MINI FUNKY DESIGN TAPES,20,12/8/2010 10:36,0.85,15750,United Kingdom,17.0,0.85,1900.0
537850,10125,MINI FUNKY DESIGN TAPES,20,12/8/2010 15:38,0.85,16722,United Kingdom,17.0,17.0,0.0
581494,10125,MINI FUNKY DESIGN TAPES,20,12/9/2011 10:13,0.85,12518,Germany,17.0,17.0,0.0
547567,10125,MINI FUNKY DESIGN TAPES,20,3/24/2011 9:44,0.85,17644,United Kingdom,17.0,17.0,0.0
547729,10125,MINI FUNKY DESIGN TAPES,3,3/25/2011 10:52,0.85,15529,United Kingdom,2.55,17.0,-85.0
547729,10125,MINI FUNKY DESIGN TAPES,1,3/25/2011 10:52,0.85,15529,United Kingdom,0.85,2.55,-66.66666666666666
547891,10125,MINI FUNKY DESIGN TAPES,20,3/28/2011 10:14,0.85,13266,United Kingdom,17.0,0.85,1900.0
548308,10125,MINI FUNKY DESIGN TAPES,4,3/30/2011 12:00,0.85,17220,United Kingdom,3.4,17.0,-80.0
548309,10125,MINI FUNKY DESIGN TAPES,1,3/30/2011 12:02,0.85,16657,United Kingdom,0.85,3.4,-75.0
548409,10125,MINI FUNKY DESIGN TAPES,40,3/31/2011 10:27,0.85,12731,France,34.0,0.85,3900.0
548491,10125,MINI FUNKY DESIGN TAPES,1,3/31/2011 13:14,0.85,14064,United Kingdom,0.85,34.0,-97.5
545658,10125,MINI FUNKY DESIGN TAPES,2,3/4/2011 14:13,0.85,14670,United Kingdom,1.7,0.85,100.0
545661,10125,MINI FUNKY DESIGN TAPES,20,3/4/2011 14:41,0.85,15358,United Kingdom,17.0,1.7,900.0
549577,10125,MINI FUNKY DESIGN TAPES,20,4/11/2011 8:16,0.85,14286,United Kingdom,17.0,17.0,0.0
550274,10125,MINI FUNKY DESIGN TAPES,20,4/15/2011 12:23,0.85,15498,United Kingdom,17.0,17.0,0.0
