InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSale,PreviousTotalSale,PercentageChange
540595,10133,COLOURING PENCILS BROWN TUBE,20,1/10/2011 11:35,0.42,14321,United Kingdom,8.4,,
541594,10133,COLOURING PENCILS BROWN TUBE,20,1/19/2011 15:30,0.42,14916,United Kingdom,8.4,8.4,0.0
541699,10133,COLOURING PENCILS BROWN TUBE,40,1/21/2011 9:03,0.42,17744,United Kingdom,16.8,8.4,100.0
542103,10133,COLOURING PENCILS BROWN TUBE,10,1/25/2011 13:26,0.85,13198,United Kingdom,8.5,16.8,-49.404761904761905
536446,10133,COLOURING PENCILS BROWN TUBE,5,12/1/2010 12:15,0.85,15983,United Kingdom,4.25,8.5,-50.0
539222,10133,COLOURING PENCILS BROWN TUBE,10,12/16/2010 13:00,0.85,14621,United Kingdom,8.5,4.25,100.0
539240,10133,COLOURING PENCILS BROWN TUBE,20,12/16/2010 13:15,0.42,15194,United Kingdom,8.4,8.5,-1.17647058823529
539252,10133,COLOURING PENCILS BROWN TUBE,20,12/16/2010 14:17,0.42,17744,United Kingdom,8.4,8.4,0.0
539353,10133,COLOURING PENCILS BROWN TUBE,20,12/17/2010 11:30,0.42,12782,Portugal,8.4,8.4,0.0
539477,10133,COLOURING PENCILS BROWN TUBE,10,12/19/2010 14:58,0.85,18245,United Kingdom,8.5,8.4,1.1904761904761862
539933,10133,COLOURING PENCILS BROWN TUBE,10,12/23/2010 11:24,0.85,15235,United Kingdom,8.5,8.5,0.0
537126,10133,COLOURING PENCILS BROWN TUBE,1,12/5/2010 12:13,0.85,18118,United Kingdom,0.85,8.5,-90.0
537155,10133,COLOURING PENCILS BROWN TUBE,3,12/5/2010 13:05,0.85,12748,United Kingdom,2.55,0.85,199.99999999999997
537225,10133,COLOURING PENCILS BROWN TUBE,10,12/5/2010 16:41,0.85,12748,United Kingdom,8.5,2.55,233.33333333333334
537374,10133,COLOURING PENCILS BROWN TUBE,2,12/6/2010 12:55,0.85,17259,United Kingdom,1.7,8.5,-80.0
538064,10133,COLOURING PENCILS BROWN TUBE,2,12/9/2010 13:47,0.85,15271,United Kingdom,1.7,1.7,0.0
538070,10133,COLOURING PENCILS BROWN TUBE,10,12/9/2010 14:08,0.85,16519,United Kingdom,8.5,1.7,400.0
543982,10133,COLOURING PENCILS BROWN TUBE,10,2/15/2011 8:21,0.85,15358,United Kingdom,8.5,8.5,0.0
544586,10133,COLOURING PENCILS BROWN TUBE,4,2/21/2011 15:04,0.85,17338,United Kingdom,3.4,8.5,-60.0
544931,10133,COLOURING PENCILS BROWN TUBE,10,2/24/2011 18:59,0.85,13501,Switzerland,8.5,3.4,150.0
545188,10133,COLOURING PENCILS BROWN TUBE,3,2/28/2011 15:19,0.85,14056,United Kingdom,2.55,8.5,-70.0
543519,10133,COLOURING PENCILS BROWN TUBE,10,2/9/2011 11:38,0.85,17083,United Kingdom,8.5,2.55,233.33333333333334
545232,10133,COLOURING PENCILS BROWN TUBE,10,3/1/2011 10:19,0.85,15676,United Kingdom,8.5,8.5,0.0
545237,10133,COLOURING PENCILS BROWN TUBE,20,3/1/2011 10:38,0.85,15709,United Kingdom,17.0,8.5,100.0
546305,10133,COLOURING PENCILS BROWN TUBE,2,3/10/2011 16:16,0.85,14056,United Kingdom,1.7,17.0,-90.0
548153,10133,COLOURING PENCILS BROWN TUBE,20,3/29/2011 13:05,0.85,15129,United Kingdom,17.0,1.7,900.0
548172,10133,COLOURING PENCILS BROWN TUBE,10,3/29/2011 14:13,0.85,15738,United Kingdom,8.5,17.0,-50.0
545646,10133,COLOURING PENCILS BROWN TUBE,1,3/4/2011 12:42,0.85,14779,United Kingdom,0.85,8.5,-90.0
545661,10133,COLOURING PENCILS BROWN TUBE,20,3/4/2011 14:41,0.85,15358,United Kingdom,17.0,0.85,1900.0
550272,10133,COLOURING PENCILS BROWN TUBE,70,4/15/2011 12:14,0.85,18079,United Kingdom,59.5,17.0,250.0
550477,10133,COLOURING PENCILS BROWN TUBE,5,4/18/2011 14:01,0.85,17338,United Kingdom,4.25,59.5,-92.85714285714286
553036,10133,COLOURING PENCILS BROWN TUBE,20,5/13/2011 8:09,0.85,15129,United Kingdom,17.0,4.25,300.0
554114,10133,COLOURING PENCILS BROWN TUBE,2,5/22/2011 15:00,0.85,15292,United Kingdom,1.7,17.0,-90.0
551872,10133,COLOURING PENCILS BROWN TUBE,10,5/4/2011 17:19,0.85,12955,United Kingdom,8.5,1.7,400.0
552244,10133,COLOURING PENCILS BROWN TUBE,1,5/6/2011 19:39,0.85,12748,United Kingdom,0.85,8.5,-90.0
556486,10133,COLOURING PENCILS BROWN TUBE,20,6/12/2011 13:22,0.42,17422,United Kingdom,8.4,0.85,888.2352941176471
556536,10133,COLOURING PENCILS BROWN TUBE,10,6/13/2011 12:36,0.42,17795,United Kingdom,4.2,8.4,-50.0
556580,10133,COLOURING PENCILS BROWN TUBE,20,6/13/2011 14:20,0.42,17719,United Kingdom,8.4,4.2,100.0
556504,10133,COLOURING PENCILS BROWN TUBE,20,6/13/2011 8:47,0.42,13936,United Kingdom,8.4,8.4,0.0
556876,10133,COLOURING PENCILS BROWN TUBE,4,6/15/2011 11:56,0.42,16241,United Kingdom,1.68,8.4,-80.0
556910,10133,COLOURING PENCILS BROWN TUBE,10,6/15/2011 13:25,0.42,12748,United Kingdom,4.2,1.68,150.00000000000003
